id_user;name;phone;country;current_account;post_code;street;num
1;Mr. Omari Conn I;681314941;Gabon;pb2738701978506562263854;27673;Yasmeen Way;57
2;Dr. Julius Rogahn DVM;601452806;Cape Verde;qv8063691539876933137630;81649;Rigoberto Club;109
3;Mattie Zulauf;632360637;Kuwait;mv2831426219861359138963;94817;Kulas Park;140
4;Eliane Grant;678158058;Canada;rz2551766736541964882823;37651;Lockman Union;36
5;Dr. Cornelius Hagenes;696131567;Yemen;ar0385516454709276358512;82215;Bella Viaduct;31
6;Jaylin Marquardt;675818417;Greece;pl1602017414214415007692;64723;Blick Locks;191
7;Maximilian Ferry;621569252;Norway;yt7383288771996741308323;31133;Roberts Road;190
8;Sally Rempel;651449986;United States Minor Outly;oe4454939990175178438818;23831;Aniya Keys;116
9;Ms. Ruthie Mueller;681424771;United States of America;gq0696887131697729723688;17131;Casey Well;188
10;Dr. Nicklaus Dicki Sr.;620526165;Saint Helena;rf4205903943515922631242;85975;Wilton Cliff;72
11;Darren Ledner;638069337;France;nl4316549610265261332279;91837;Nathen Path;69
12;Vella Hauck;645655053;Botswana;ke7438055374938766464072;46575;Tina Overpass;123
13;Adele Jones;657629155;Trinidad and Tobago;kc8530521345968454576505;24042;Legros Heights;12
14;Dr. Maximus Stroman;659924419;Haiti;sn8910274776807332943704;34761;Pagac Ferry;44
15;Oleta Leannon;648686370;Brunei Darussalam;yc6858843053644911928279;11522;Bartell Ridges;143
16;Prof. Linnie McDermott;676515673;Svalbard & Jan Mayen Isla;kz0246341294373821462580;80326;Waters Turnpike;173
17;Jaren Hirthe II;630758644;British Indian Ocean Terr;ok0530611021414435968880;45057;Gorczany Land;81
18;Camron Kautzer;645398060;Mayotte;xi8860105047708654176228;8479;Stamm Ridges;78
19;Laverne Schultz;695471136;Greece;pm0464874528996312478168;82696;Boyle Meadows;124
20;Owen Kuhic Sr.;686016063;Serbia;cv0280371066411515716639;67236;Ashly Expressway;144
21;Dr. Marcelle Kessler DVM;668194353;Sweden;zq4241435675002101170079;95409;Oma Square;6
22;Jana Kihn;627641753;Finland;vl1581818814822922871468;8620;Samir Views;139
23;Prof. Kian West V;696220642;South Africa;xm1203703533020937500759;82847;Spencer Circle;152
24;Antonina Toy;610391850;Paraguay;mg1108852877597055265011;61165;Willms Trace;134
